Player,Age,G,MP,eFG%,FT%,TRB,AST,BLK,TOV,PTS
Juan Toscano-Anderson,29,3,18.7,0.423,1,3.3,1,0,1,4
Karl-Anthony Towns,27,4,34.8,0.467,0.96,8.3,4.8,0,3.8,20.3
Gary Trent Jr.,24,4,38.5,0.5,0.692,2,1,0.3,0.8,18.5
P.J. Tucker,37,4,30.3,0.682,1,4,0.8,0.5,1,4.3
Jonas Valan?i?nas,30,4,25.8,0.5,0.952,11.5,2.8,0.8,1,16
Jarred Vanderbilt,23,4,25.8,0.654,0.556,10.3,2,0.5,2,9.8
Fred VanVleet,28,4,38.8,0.556,0.933,3.8,8.3,0.3,1,16
Devin Vassell,22,4,32.5,0.508,0.75,5,4.5,0,1,19.8
Gabe Vincent,26,4,22.5,0.519,0.75,2,3.3,0.3,2.8,7.8
Noah Vonleh,27,4,15.3,0.5,0,3.8,0,1.5,1,2.5
Nikola Vu?evi?,32,4,31.3,0.457,0.952,13,2.8,1.5,1.5,18.3
Dean Wade,26,3,15.7,0.909,0.714,2.7,1.7,0.7,0.3,8.3
Franz Wagner,21,4,35,0.458,0.833,5.8,3.8,0,2.8,15
Jabari Walker,20,1,4,1,0,2,1,0,0,2
Lonnie Walker IV,24,3,32.7,0.476,0.778,3.3,3,0.7,1.7,15.3
John Wall,32,3,21.7,0.542,0.417,2.3,3.7,0,2.3,14.7
Duane Washington Jr.,22,1,1,0,0,0,0,0,0,0
P.J. Washington,24,3,27,0.561,1,4.3,2.3,1.3,2,13
Yuta Watanabe,28,2,7.5,0,0,0,0,0,0,0
Lindy Waters III,25,2,8,0.25,0,1,0,0,0,1.5
Peyton Watson,20,2,2,0.5,0,1,0,0,0,2
Russell Westbrook,34,3,28.7,0.303,0.8,6.7,4.3,0,1.7,10.3
Coby White,22,4,22.3,0.423,0.6,1.3,1.5,0,0.5,6.3
Derrick White,28,4,27.8,0.576,0.75,3.8,3.3,0.8,0.8,11
Aaron Wiggins,24,3,23,0.375,0.857,6,0.7,0.7,0.3,7
Andrew Wiggins,27,4,32.5,0.567,0.7,6.3,2.8,1.3,0.3,20.8
Grant Williams,24,4,24.8,0.941,0.857,4.3,1.5,1,0.5,9.5
Jalen Williams,21,1,6,1.25,0,0,1,0,2,5
Jaylin Williams,20,1,8,0.5,0,6,2,0,0,4
Kenrich Williams,28,4,20.5,0.46,0.333,4.5,1.8,0.3,0.3,6
Mark Williams,21,2,3,0.5,1,2,0,0,1,2
Patrick Williams,21,4,20.5,0.36,0.75,2.3,0,0.5,0.8,5.3
Vince Williams Jr.,22,1,6,0,0,0,0,0,0,0
Zion Williamson,22,3,30.3,0.491,0.714,6.7,2.3,0.7,3,22
Justise Winslow,26,3,25,0.405,0.833,5,1.3,0.7,1,7.3
James Wiseman,21,4,17.8,0.692,0.6,5.3,1,0.8,0.8,11.3
Christian Wood,27,3,26.3,0.73,0.633,8.7,1.7,0.7,2,24.3
Delon Wright,30,4,22.8,0.479,0.6,2.5,3.3,1,1,6.5
McKinley Wright IV,24,1,5,0.25,0,2,2,0,0,2
Thaddeus Young,34,3,9,0.5,0,1,0.3,0,0.3,2.3
Trae Young,24,3,36.3,0.373,0.958,4,11.7,0.3,3.3,25.3
Ivica Zubac,25,4,29,0.615,0.667,11.8,1.5,3.3,2.5,9
